ANKMY2	BTBD1
MBD3	POLR2E
HECA	SUB1
ATP6V1D	C21orf77
OR1D2	SNCA
216012_at	CDC14B
216816_at	221155_x_at
CNOT2	CROP
DYNLRB1	XX-FW81657B9.4
SDCCAG1	UPF3B
CCRN4L	P2RY4
ADAMTS1	MAFF
EIF4G2	hfl-B5
RPL11	RPS15A
DEK	TARDBP
CAPZA1	TARDBP
DDX5	PIP5K3
PUM2	RPL17
CAPN7	ZNF146
hfl-B5	NPM1
ATP6V0B	COX8A
FAM60A	RPS7
TMED2	TRAM1
RPL17	RPS25
EIF3S10	SERBP1
HIATL1	NCL
EHBP1L1	PFN1
GNB2L1	RPL18A
GNB2L1	RPL13A
HPS5	SFRS11
HNRPDL	NACA
ARL6IP5	NEK7
CAV2	LAMC1
PAFAH1B1	USP33
RPL29	RPS9
RPL13	RPL18A
EPAS1	HSPG2
PALLD	TPM2
EIF3S6IP	SEC31L1
HIATL1	TAX1BP1
MATR3	TAX1BP1
DPM1	HNRPH1
MBNL1	SF3B1
205273_s_at	DCTN1
BCLAF1	SH2BP1
BCLAF1	PSIP1
USP9X	ZNF294
MBNL1	SWAP70
ARHGDIB	B2M
CYR61	GPR116
KIAA0256	NDUFA5
218041_x_at	COPB
COL6A3	DCN
EXOC7	SNRPN
RAVER2	SFRS5
AASDHPPT	ENPP4
GOLGA8A	PCM1
APPBP1	HNRPA3
DDX46	RPL7
DDX46	SUV420H1
SLC30A9	SNX4
DPM1	KPNB1
RASA1	STX16
DCN	FMOD
HCK	ITGB2
NDUFB7	SCAND1
PSCD1	RNASET2
NBN	YTHDC1
BCL2	TOP2B
CNN1	COL4A2
OPHN1	PDCL
HLA-A	HLA-F
220725_x_at	EEF1A1
EEF1A1	MDS1
ACF	DCT
EDAR	ETV1
GABRR1	SCD5
CHRNA5	NOS1
FLJ42393	KLHL24
IRF7	PTPN6
MTDH	SFRS2IP
DST	MEIS2
HIRA	MAEA
MORF4	SKP1A
BPY2	C8orf39
BTF3	MDS1
NACA	RPL35A
EIF3S6	ITGB1
EIF3S6	UBXD2
FXYD6	USP11
TUBA6	TUBB
CDC5L	SPAM1
DCN	NR2F2
ID4	IFT57
HLA-DRB1	IGKC
GPS1	SIAHBP1
ARHGEF18	IKBKG
HAP1	SIGLEC6
BAT2D1	HIATL1
OSBPL8	ZNF638
CROP	ZNF638
CACNA1G	CCRN4L
TOP2B	UBXD2
C6orf111	ZDHHC17
C6orf111	REV1L
PNRC2	RPL17
216816_at	USP24
MAGEH1	MOAP1
PIK3C2A	USP33
PKN2	ZNF451
PAPOLA	STAT1
KIAA1033	ZDHHC17
218764_at	TRIM22
LOC440055	RPL7A
EEF1A1	RPL35A
